tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,sets_num,tourney_month_name,tourney_month_num
2015-339,Brisbane,Hard,28,A,2015-01-04,1,105357,0,WC,John Millman,R,183,AUS,25.6,36.0,328,105733,0,Q,Rhyne Williams,R,188,USA,24.0,60.0,221,6-3 6-1,3,R32,65.0,6,2,44,24,19,14,8,1,1,3,4,50,31,20,5,8,1,5,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,2,103813,0,D,Jarkko Nieminen,L,185,FIN,33.5,73.0,689,106045,0,Q,Denis Kudla,R,180,USA,22.0,123.0,440,4-6 6-1 6-4,3,R32,104.0,4,0,92,59,39,17,14,4,7,6,1,83,50,26,19,13,3,8,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,3,105902,0,WC,James Duckworth,R,183,AUS,23.0,125.0,430,104468,6,D,Gilles Simon,R,183,FRA,30.0,21.0,1730,6-2 6-2,3,R32,68.0,4,0,45,27,20,11,8,2,3,2,1,56,37,22,5,8,10,15,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,4,104871,0,D,Jeremy Chardy,R,188,FRA,27.9,31.0,1195,104979,0,D,Andrey Golubev,R,185,KAZ,27.0,72.0,691,6-4 6-4,3,R32,69.0,7,1,53,39,31,11,10,0,0,9,2,57,38,30,8,10,1,3,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,5,105373,0,D,Martin Klizan,L,190,SVK,25.5,34.0,1094,103781,0,D,Jurgen Melzer,L,183,AUT,34.0,110.0,505,6-7(5) 7-6(6) 6-1,3,R32,144.0,9,4,130,79,55,27,16,6,8,4,4,95,62,40,19,15,4,8,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,6,105238,7,D,Alexandr Dolgopolov,R,180,UKR,26.2,23.0,1455,104122,0,D,Carlos Berlocq,R,183,ARG,32.0,71.0,700,6-2 6-3,3,R32,78.0,6,1,49,31,24,12,9,3,4,3,2,78,53,32,8,8,11,15,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,7,103997,0,Q,Lukasz Kubot,R,190,POL,32.6,36.0,282,104731,5,D,Kevin Anderson,R,203,RSA,29.0,16.0,2080,7-6(3) 6-4,3,R32,110.0,6,5,78,51,35,14,11,3,5,12,3,76,43,30,17,11,4,7,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,8,105032,0,D,Samuel Groth,R,188,AUS,27.2,85.0,586,103720,0,D,Lleyton Hewitt,R,180,AUS,34.0,84.0,595,6-3 6-2,3,R32,59.0,14,0,47,34,30,8,9,2,2,1,2,45,22,13,14,8,1,4,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,9,105062,0,D,Mikhail Kukushkin,R,183,KAZ,27.0,69.0,705,105657,0,Q,Marius Copil,R,193,ROU,24.0,60.0,242,6-4 4-6 6-4,3,R32,113.0,3,1,84,56,42,16,15,1,3,17,2,89,56,46,15,15,3,6,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,10,106423,0,WC,Thanasi Kokkinakis,R,188,AUS,18.7,36.0,341,103898,8,D,Julien Benneteau,R,185,FRA,33.0,25.0,1365,6-4 6-3,3,R32,75.0,9,1,52,30,25,14,10,1,2,5,3,52,33,23,7,9,1,4,2,January,1
